className,craftingSkillGroup,status,suggested_progressionMatchName,candidates
armorRaiderGloves,Clothing,no_match_in_xml,,
armorRaiderHelmet,Clothing,no_match_in_xml,,
armorRangerBoots,Clothing,no_match_in_xml,,
armorRangerGloves,Clothing,no_match_in_xml,,
armorRangerHelmet,Clothing,no_match_in_xml,,
armorRogueBoots,Clothing,no_match_in_xml,,
armorRogueGloves,Clothing,no_match_in_xml,,
armorRogueHelmet,Clothing,no_match_in_xml,,
armorScavengerBoots,Clothing,no_match_in_xml,,
armorScavengerGloves,Clothing,no_match_in_xml,,
armorScavengerHelmet,Clothing,no_match_in_xml,,
fluorescentLight,Electrician,no_match_in_xml,,
foodShephardsPie,Food,no_match_in_xml,,
industrialLight07_player,Electrician,no_match_in_xml,,
ironGarageDoor_PoweredArmyGreen,Electrician,heuristic_garage01,ironGarageDoor01_PoweredArmyGreen,ironGarageDoor01_PoweredArmyGreen
ironGarageDoor_PoweredBlack,Electrician,heuristic_garage01,ironGarageDoor01_PoweredBlack,ironGarageDoor01_PoweredBlack
ironGarageDoor_PoweredBlue,Electrician,heuristic_garage01,ironGarageDoor01_PoweredBlue,ironGarageDoor01_PoweredBlue
ironGarageDoor_PoweredBrown,Electrician,heuristic_garage01,ironGarageDoor01_PoweredBrown,ironGarageDoor01_PoweredBrown
ironGarageDoor_PoweredGreen,Electrician,heuristic_garage01,ironGarageDoor01_PoweredGreen,ironGarageDoor01_PoweredGreen
ironGarageDoor_PoweredGrey,Electrician,heuristic_garage01,ironGarageDoor01_PoweredGrey,ironGarageDoor01_PoweredGrey
ironGarageDoor_PoweredOrange,Electrician,heuristic_garage01,ironGarageDoor01_PoweredOrange,ironGarageDoor01_PoweredOrange
ironGarageDoor_PoweredPink,Electrician,heuristic_garage01,ironGarageDoor01_PoweredPink,ironGarageDoor01_PoweredPink
ironGarageDoor_PoweredPurple,Electrician,heuristic_garage01,ironGarageDoor01_PoweredPurple,ironGarageDoor01_PoweredPurple
ironGarageDoor_PoweredRed,Electrician,heuristic_garage01,ironGarageDoor01_PoweredRed,ironGarageDoor01_PoweredRed
ironGarageDoor_PoweredWhite,Electrician,heuristic_garage01,ironGarageDoor01_PoweredWhite,ironGarageDoor01_PoweredWhite
ironGarageDoor_PoweredYellow,Electrician,heuristic_garage01,ironGarageDoor01_PoweredYellow,ironGarageDoor01_PoweredYellow
meleeToolAxeT0StoneAxe,HarvestingTools,no_match_in_xml,,
meleeToolAxeT2SteelFireaxe,HarvestingTools,no_match_in_xml,,
meleeToolPickT0StonePickaxe,HarvestingTools,no_match_in_xml,,
mineCandyTin,Explosives,no_match_in_xml,,
steelGarageDoor3x3_PoweredArmyGreen,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredBlack,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredBlue,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredBrown,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredGreen,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredGrey,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredOrange,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredPink,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredPurple,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredRed,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredWhite,Electrician,no_match_in_xml,,
steelGarageDoor3x3_PoweredYellow,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredArmyGreen,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredBlack,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredBlue,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredBrown,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredGreen,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredGrey,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredOrange,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredPink,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredPurple,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredRed,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredWhite,Electrician,no_match_in_xml,,
steelGarageDoor4x3_PoweredYellow,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredArmyGreen,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredBlack,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredBlue,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredBrown,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredGreen,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredGrey,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredOrange,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredPink,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredPurple,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredRed,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredWhite,Electrician,no_match_in_xml,,
steelGarageDoor5x3_PoweredYellow,Electrician,no_match_in_xml,,
thrownAmmoMolotovCocktail,Explosives,no_match_in_xml,,
vaultDoor01_player,Electrician,no_match_in_xml,,
vaultDoor02_player,Electrician,no_match_in_xml,,
vaultHatch01_player,Electrician,no_match_in_xml,,
vehicleBicyclePlaceable,Vehicles,no_match_in_xml,,
vehicleGyrocopterPlaceable,Vehicles,no_match_in_xml,,
vehicleMinibikePlaceable,Vehicles,no_match_in_xml,,
vehicleMotorcyclePlaceable,Vehicles,no_match_in_xml,,
vehicleTruck4x4Placeable,Vehicles,no_match_in_xml,,
woodenGarageDoor3x3_PoweredBlack,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredBlack
woodenGarageDoor3x3_PoweredBlue,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredBlue
woodenGarageDoor3x3_PoweredBrown,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredBrown
woodenGarageDoor3x3_PoweredGreen,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredGreen
woodenGarageDoor3x3_PoweredGrey,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredGrey
woodenGarageDoor3x3_PoweredOak,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredOak
woodenGarageDoor3x3_PoweredOrange,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredOrange
woodenGarageDoor3x3_PoweredPink,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredPink
woodenGarageDoor3x3_PoweredPurple,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredPurple
woodenGarageDoor3x3_PoweredRed,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredRed
woodenGarageDoor3x3_PoweredWhite,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredWhite
woodenGarageDoor3x3_PoweredYellow,Electrician,ambiguous,,woodenGarageDoor01_3x3_PoweredYellow
woodenGarageDoor4x3_PoweredBlack,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredBlue,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredBrown,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredGreen,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredGrey,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredOak,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredOrange,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredPink,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredPurple,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredRed,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredWhite,Electrician,no_match_in_xml,,
woodenGarageDoor4x3_PoweredYellow,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredBlack,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredBlue,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredBrown,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredGreen,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredGrey,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredOak,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredOrange,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredPink,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredPurple,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredRed,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredWhite,Electrician,no_match_in_xml,,
woodenGarageDoor5x3_PoweredYellow,Electrician,no_match_in_xml,,
